Series ID,year,period,label,value
LNS13000061,2018,M01,2018 Jan,1892
LNS13000061,2018,M02,2018 Feb,1791
LNS13000061,2018,M03,2018 Mar,1832
LNS13000061,2018,M04,2018 Apr,1873
LNS13000061,2018,M05,2018 May,1750
LNS13000061,2018,M06,2018 Jun,1816
LNS13000061,2018,M07,2018 Jul,1620
LNS13000061,2018,M08,2018 Aug,1679
LNS13000061,2018,M09,2018 Sep,1710
LNS13000061,2018,M10,2018 Oct,1780
LNS13000061,2018,M11,2018 Nov,1647
LNS13000061,2018,M12,2018 Dec,1777
LNS13000061,2019,M01,2019 Jan,1815
LNS13000061,2019,M02,2019 Feb,1756
LNS13000061,2019,M03,2019 Mar,1754
LNS13000061,2019,M04,2019 Apr,1707
LNS13000061,2019,M05,2019 May,1608
LNS13000061,2019,M06,2019 Jun,1643
LNS13000061,2019,M07,2019 Jul,1695
LNS13000061,2019,M08,2019 Aug,1692
LNS13000061,2019,M09,2019 Sep,1668
LNS13000061,2019,M10,2019 Oct,1623
LNS13000061,2019,M11,2019 Nov,1596
LNS13000061,2019,M12,2019 Dec,1619
LNS13000061,2020,M01,2020 Jan,1683
LNS13000061,2020,M02,2020 Feb,1707
LNS13000061,2020,M03,2020 Mar,1951
LNS13000061Q,2010,Q01,2010 Qtr1,5348
LNS13000061Q,2010,Q02,2010 Qtr2,5207
LNS13000061Q,2010,Q03,2010 Qtr3,5004
LNS13000061Q,2010,Q04,2010 Qtr4,4936
LNS13000061Q,2011,Q01,2011 Qtr1,4534
LNS13000061Q,2011,Q02,2011 Qtr2,4620
LNS13000061Q,2011,Q03,2011 Qtr3,4529
LNS13000061Q,2011,Q04,2011 Qtr4,4229
LNS13000061Q,2012,Q01,2012 Qtr1,3870
LNS13000061Q,2012,Q02,2012 Qtr2,3789
LNS13000061Q,2012,Q03,2012 Qtr3,3715
LNS13000061Q,2012,Q04,2012 Qtr4,3571
LNS13000061Q,2013,Q01,2013 Qtr1,3468
LNS13000061Q,2013,Q02,2013 Qtr2,3497
LNS13000061Q,2013,Q03,2013 Qtr3,3474
LNS13000061Q,2013,Q04,2013 Qtr4,3301
LNS13000061Q,2014,Q01,2014 Qtr1,3046
LNS13000061Q,2014,Q02,2014 Qtr2,2825
LNS13000061Q,2014,Q03,2014 Qtr3,2673
LNS13000061Q,2014,Q04,2014 Qtr4,2531
LNS13000061Q,2015,Q01,2015 Qtr1,2509
LNS13000061Q,2015,Q02,2015 Qtr2,2415
LNS13000061Q,2015,Q03,2015 Qtr3,2244
LNS13000061Q,2015,Q04,2015 Qtr4,2310
LNS13000061Q,2016,Q01,2016 Qtr1,2194
LNS13000061Q,2016,Q02,2016 Qtr2,2224
LNS13000061Q,2016,Q03,2016 Qtr3,2253
LNS13000061Q,2016,Q04,2016 Qtr4,2190
LNS13000061Q,2017,Q01,2017 Qtr1,2143
LNS13000061Q,2017,Q02,2017 Qtr2,1991
LNS13000061Q,2017,Q03,2017 Qtr3,2014
LNS13000061Q,2017,Q04,2017 Qtr4,1811
LNS13000061Q,2018,Q01,2018 Qtr1,1839
LNS13000061Q,2018,Q02,2018 Qtr2,1813
LNS13000061Q,2018,Q03,2018 Qtr3,1670
LNS13000061Q,2018,Q04,2018 Qtr4,1735
LNS13000061Q,2019,Q01,2019 Qtr1,1775
LNS13000061Q,2019,Q02,2019 Qtr2,1652
LNS13000061Q,2019,Q03,2019 Qtr3,1685
